attendance,previous_cgpa,subject_difficulty,internal_marks,mid_sem_1,mid_sem_2,end_sem_marks
92.0,9.04,7.4,18.0,10.0,10.0,37.0
87.0,8.53,7.1,16.0,9.0,12.0,40.0
91.0,9.17,7.6,17.0,11.0,11.0,36.0
80.0,7.89,6.2,20.0,9.0,9.0,26.0
98.0,10.0,5.6,20.0,15.0,14.0,49.0
80.0,0.0,7.9,16.0,8.0,6.0,27.0
98.0,8.99,9.7,19.0,10.0,9.0,32.0
80.0,8.79,5.7,18.0,9.0,7.0,37.0
84.0,9.37,8.5,16.0,10.0,11.0,30.0
91.0,0.0,7.2,18.0,15.0,14.0,43.0
95.0,8.24,6.5,20.0,11.0,11.0,45.0
85.0,7.64,9.3,15.0,7.0,13.0,18.0
91.0,0.0,7.3,19.0,8.0,7.0,29.0
83.0,8.74,7.9,17.0,10.0,11.0,29.0
73.0,7.77,7.2,16.0,6.0,6.0,23.0
93.0,8.84,5.4,18.0,12.0,14.0,48.0
74.0,8.24,8.0,14.0,8.0,8.0,24.0
81.0,7.89,7.1,17.0,8.0,7.0,33.0
92.0,9.14,5.4,17.0,7.0,12.0,39.0
83.0,0.0,8.0,12.0,12.0,10.0,29.0
86.0,0.0,5.0,16.0,11.0,11.0,29.0
99.0,8.8,6.0,19.0,12.0,14.0,46.0
71.0,7.7,8.9,12.0,4.0,2.0,23.0
85.0,8.34,5.2,17.0,12.0,14.0,36.0
82.0,8.05,8.2,15.0,9.0,8.0,26.0
82.0,9.25,9.7,16.0,10.0,12.0,29.0
89.0,9.19,5.9,20.0,13.0,15.0,38.0
79.0,8.99,7.1,18.0,10.0,10.0,33.0
88.0,8.69,7.9,19.0,6.0,4.0,33.0
93.0,8.32,7.3,20.0,9.0,8.0,27.0
87.0,8.29,8.1,17.0,10.0,10.0,24.0
85.0,8.22,7.0,17.0,7.0,9.0,31.0
79.0,8.78,5.7,14.0,14.0,15.0,38.0
77.0,7.48,5.4,18.0,11.0,12.0,20.0
78.0,6.52,8.7,20.0,7.0,8.0,21.0
69.0,8.5,6.2,16.0,11.0,13.0,20.0
90.0,7.94,9.2,20.0,8.0,8.0,30.0
97.0,9.4,8.7,14.0,12.0,12.0,31.0
82.0,8.6,5.2,20.0,8.0,8.0,41.0
81.0,6.57,6.0,16.0,6.0,5.0,24.0
78.0,7.34,6.5,20.0,4.0,6.0,22.0
89.0,7.53,8.0,20.0,9.0,11.0,28.0
94.0,9.97,9.0,20.0,10.0,12.0,44.0
71.0,6.9,5.3,14.0,8.0,6.0,16.0
83.0,8.02,6.2,17.0,11.0,12.0,35.0
91.0,8.95,6.9,14.0,9.0,11.0,30.0
79.0,9.24,5.9,18.0,9.0,12.0,32.0
91.0,9.33,7.7,13.0,10.0,7.0,39.0
100.0,0.0,7.4,19.0,11.0,11.0,29.0
80.0,7.96,6.6,19.0,8.0,8.0,28.0
94.0,8.67,7.6,20.0,12.0,15.0,35.0
84.0,9.17,6.8,14.0,13.0,9.0,38.0
80.0,8.66,6.7,13.0,10.0,8.0,33.0
76.0,6.49,6.3,14.0,4.0,7.0,25.0
89.0,9.44,7.7,18.0,9.0,8.0,43.0
85.0,7.46,7.2,19.0,5.0,2.0,21.0
87.0,8.62,6.0,19.0,9.0,12.0,33.0
87.0,9.29,5.1,15.0,9.0,6.0,42.0
100.0,8.64,5.8,20.0,14.0,15.0,42.0
95.0,10.0,5.2,20.0,14.0,11.0,50.0
94.0,8.31,7.2,20.0,4.0,1.0,30.0
95.0,8.68,6.1,20.0,10.0,10.0,43.0
87.0,8.45,7.1,19.0,11.0,9.0,33.0
92.0,9.06,6.6,20.0,11.0,12.0,32.0
89.0,7.62,7.7,20.0,7.0,11.0,34.0
97.0,10.0,8.6,20.0,9.0,9.0,36.0
68.0,6.15,7.4,12.0,0.0,3.0,21.0
83.0,0.0,5.3,19.0,12.0,13.0,24.0
91.0,8.99,5.1,17.0,13.0,15.0,35.0
90.0,9.61,6.1,16.0,15.0,10.0,39.0
92.0,9.5,7.1,17.0,12.0,13.0,41.0
84.0,0.0,5.2,19.0,13.0,14.0,42.0
83.0,8.46,6.6,18.0,11.0,10.0,18.0
99.0,9.62,9.4,20.0,13.0,15.0,42.0
98.0,0.0,5.5,20.0,14.0,13.0,43.0
76.0,7.51,9.7,16.0,6.0,3.0,27.0
91.0,8.38,9.3,19.0,8.0,10.0,19.0
77.0,7.62,9.2,17.0,5.0,2.0,24.0
86.0,10.0,9.3,16.0,10.0,10.0,38.0
87.0,10.0,5.4,15.0,14.0,15.0,48.0
92.0,10.0,5.8,17.0,15.0,15.0,47.0
82.0,8.14,5.7,17.0,7.0,7.0,20.0
87.0,9.25,5.6,16.0,14.0,13.0,40.0
100.0,9.1,6.6,20.0,13.0,15.0,39.0
90.0,8.47,9.2,19.0,10.0,8.0,22.0
87.0,0.0,6.3,18.0,13.0,15.0,40.0
79.0,8.32,6.2,15.0,9.0,13.0,23.0
91.0,9.24,8.4,20.0,12.0,13.0,30.0
83.0,9.01,5.5,14.0,13.0,13.0,42.0
93.0,7.74,6.8,19.0,12.0,12.0,32.0
89.0,8.99,6.5,17.0,15.0,14.0,35.0
83.0,8.19,9.2,17.0,11.0,10.0,27.0
100.0,9.26,7.6,20.0,12.0,12.0,30.0
92.0,8.7,8.2,16.0,9.0,10.0,34.0
72.0,6.55,5.6,11.0,6.0,9.0,20.0
93.0,8.85,9.6,17.0,5.0,1.0,29.0
90.0,0.0,6.6,20.0,14.0,9.0,40.0
98.0,9.2,8.5,20.0,8.0,11.0,37.0
90.0,8.46,9.8,17.0,12.0,12.0,29.0
89.0,8.72,7.5,20.0,15.0,15.0,36.0
81.0,8.59,7.5,19.0,6.0,7.0,36.0
89.0,8.56,5.6,20.0,12.0,12.0,39.0
89.0,9.12,7.0,16.0,7.0,11.0,35.0
92.0,9.6,9.3,20.0,6.0,7.0,35.0
86.0,8.76,5.7,18.0,11.0,10.0,34.0
97.0,10.0,9.6,18.0,11.0,10.0,37.0
82.0,0.0,8.3,16.0,10.0,10.0,25.0
86.0,8.3,7.1,15.0,10.0,8.0,36.0
83.0,8.69,7.7,15.0,5.0,8.0,26.0
99.0,9.67,5.8,18.0,14.0,14.0,46.0
99.0,9.27,6.1,20.0,10.0,8.0,45.0
77.0,7.31,6.4,15.0,5.0,6.0,27.0
79.0,0.0,6.9,14.0,5.0,8.0,24.0
77.0,7.48,9.6,16.0,9.0,11.0,19.0
62.0,6.48,6.8,12.0,5.0,3.0,8.0
86.0,8.9,7.6,19.0,12.0,10.0,38.0
71.0,6.19,5.8,14.0,3.0,6.0,20.0
77.0,7.62,8.7,13.0,6.0,3.0,25.0
88.0,8.85,7.8,17.0,7.0,8.0,34.0
85.0,6.66,7.2,15.0,11.0,10.0,24.0
81.0,8.36,9.7,17.0,12.0,15.0,27.0
60.0,6.36,9.5,14.0,5.0,3.0,9.0
92.0,9.85,8.3,15.0,12.0,10.0,33.0
85.0,9.85,9.6,17.0,7.0,8.0,28.0
79.0,7.82,7.8,18.0,5.0,7.0,17.0
100.0,8.96,9.1,17.0,10.0,13.0,47.0
67.0,0.0,7.0,13.0,7.0,8.0,20.0
100.0,9.67,5.4,20.0,13.0,14.0,50.0
81.0,8.68,10.0,18.0,5.0,7.0,16.0
77.0,8.27,5.8,16.0,7.0,4.0,19.0
78.0,9.85,6.3,17.0,11.0,9.0,39.0
86.0,7.63,5.8,18.0,13.0,10.0,26.0
85.0,9.4,6.7,16.0,8.0,3.0,34.0
91.0,9.49,6.4,20.0,14.0,15.0,39.0
92.0,9.41,8.0,17.0,10.0,13.0,37.0
83.0,0.0,10.0,11.0,8.0,9.0,19.0
91.0,9.33,5.3,15.0,12.0,13.0,42.0
93.0,8.95,8.9,18.0,10.0,10.0,38.0
71.0,6.64,5.6,14.0,3.0,3.0,7.0
88.0,8.41,5.1,17.0,10.0,13.0,46.0
95.0,8.91,8.2,19.0,11.0,14.0,40.0
89.0,9.58,9.4,20.0,11.0,10.0,36.0
89.0,8.35,5.9,19.0,10.0,12.0,37.0
92.0,0.0,6.7,20.0,13.0,15.0,35.0
97.0,8.78,5.8,17.0,7.0,8.0,46.0
87.0,7.26,9.5,16.0,7.0,8.0,39.0
94.0,10.0,6.4,20.0,11.0,12.0,50.0
98.0,8.88,7.2,20.0,12.0,9.0,31.0
78.0,8.04,9.5,17.0,10.0,7.0,25.0
90.0,9.03,7.8,19.0,6.0,8.0,30.0
86.0,9.64,9.7,18.0,13.0,11.0,35.0
98.0,8.15,9.6,20.0,9.0,6.0,30.0
86.0,0.0,7.3,16.0,12.0,8.0,35.0
100.0,9.3,7.9,18.0,9.0,8.0,41.0
80.0,8.69,6.2,12.0,9.0,10.0,28.0
81.0,9.15,10.0,18.0,9.0,10.0,30.0
80.0,7.4,6.4,15.0,9.0,11.0,39.0
76.0,8.66,8.9,18.0,7.0,6.0,28.0
88.0,8.5,6.6,18.0,11.0,11.0,40.0
79.0,8.46,6.6,15.0,6.0,8.0,36.0
80.0,7.67,5.5,14.0,7.0,8.0,35.0
86.0,8.29,7.8,19.0,11.0,10.0,27.0
77.0,8.11,6.2,15.0,11.0,12.0,28.0
74.0,7.62,5.7,15.0,10.0,6.0,32.0
91.0,9.98,6.1,19.0,12.0,12.0,47.0
79.0,7.62,6.3,16.0,8.0,7.0,24.0
94.0,8.34,7.5,17.0,12.0,15.0,40.0
84.0,9.08,6.9,18.0,8.0,6.0,31.0
84.0,9.39,5.4,18.0,13.0,13.0,31.0
96.0,9.54,7.7,20.0,11.0,10.0,35.0
80.0,8.43,8.9,17.0,6.0,5.0,27.0
87.0,7.99,7.9,19.0,7.0,8.0,27.0
86.0,9.07,9.9,16.0,6.0,5.0,29.0
77.0,7.03,5.5,15.0,4.0,8.0,22.0
83.0,7.44,9.1,20.0,7.0,3.0,18.0
100.0,9.53,7.5,20.0,14.0,15.0,46.0
92.0,0.0,7.6,18.0,13.0,13.0,35.0
79.0,8.22,7.6,17.0,9.0,9.0,27.0
100.0,9.65,6.6,18.0,15.0,15.0,40.0
77.0,7.94,6.6,14.0,10.0,12.0,27.0
90.0,8.55,8.2,16.0,12.0,13.0,37.0
83.0,9.55,5.2,17.0,12.0,14.0,48.0
83.0,9.42,7.9,17.0,13.0,13.0,38.0
97.0,9.61,8.6,20.0,6.0,4.0,33.0
78.0,8.1,6.8,15.0,10.0,10.0,37.0
82.0,8.58,6.1,19.0,5.0,7.0,25.0
77.0,7.67,6.1,17.0,9.0,8.0,22.0
98.0,8.01,5.4,20.0,9.0,7.0,42.0
58.0,6.27,5.4,15.0,11.0,12.0,19.0
81.0,7.93,5.8,19.0,9.0,10.0,40.0
86.0,8.0,5.1,19.0,11.0,9.0,28.0
85.0,8.66,6.3,15.0,9.0,9.0,29.0
82.0,0.0,6.5,17.0,9.0,9.0,34.0
88.0,9.03,10.0,20.0,6.0,6.0,25.0
69.0,8.33,10.0,15.0,3.0,4.0,12.0
89.0,8.64,5.9,16.0,6.0,5.0,30.0
74.0,7.42,6.1,15.0,11.0,12.0,32.0
90.0,8.92,7.5,16.0,10.0,9.0,37.0
85.0,9.39,5.7,15.0,15.0,15.0,45.0
93.0,8.7,7.5,19.0,7.0,10.0,28.0
92.0,9.04,7.0,20.0,12.0,10.0,24.0
83.0,8.7,6.6,15.0,13.0,11.0,25.0
100.0,8.85,9.1,19.0,14.0,15.0,41.0
97.0,9.92,9.1,17.0,12.0,13.0,39.0
90.0,9.64,9.9,18.0,10.0,11.0,29.0
96.0,9.31,6.1,15.0,13.0,12.0,31.0
88.0,9.43,9.4,17.0,7.0,7.0,27.0
75.0,7.93,7.7,15.0,7.0,6.0,21.0
93.0,9.23,8.0,15.0,10.0,11.0,29.0
82.0,8.45,9.5,14.0,5.0,3.0,25.0
73.0,7.21,9.7,14.0,6.0,6.0,11.0
80.0,7.97,8.6,16.0,11.0,8.0,31.0
97.0,9.86,6.7,19.0,11.0,10.0,43.0
78.0,7.67,7.4,16.0,7.0,7.0,24.0
88.0,8.23,8.1,14.0,5.0,6.0,38.0
93.0,9.48,9.1,20.0,7.0,8.0,28.0
90.0,0.0,8.3,17.0,9.0,11.0,31.0
87.0,8.47,6.8,16.0,12.0,9.0,28.0
72.0,8.56,7.1,11.0,9.0,12.0,36.0
83.0,8.2,5.3,16.0,10.0,9.0,24.0
86.0,8.5,9.6,18.0,10.0,9.0,30.0
81.0,0.0,5.4,16.0,8.0,9.0,16.0
75.0,7.79,7.9,15.0,8.0,7.0,20.0
84.0,9.63,9.4,16.0,9.0,10.0,37.0
89.0,7.93,7.1,18.0,8.0,9.0,36.0
86.0,0.0,9.0,15.0,8.0,6.0,34.0
91.0,9.32,9.0,18.0,12.0,12.0,35.0
91.0,9.49,5.3,17.0,15.0,15.0,49.0
90.0,7.85,7.1,16.0,11.0,13.0,31.0
89.0,8.12,8.5,19.0,7.0,6.0,35.0
78.0,7.67,7.1,12.0,5.0,4.0,36.0
67.0,0.0,7.7,14.0,4.0,2.0,23.0
91.0,8.73,8.0,19.0,9.0,7.0,30.0
100.0,0.0,5.8,19.0,12.0,9.0,41.0
90.0,9.61,7.1,20.0,14.0,13.0,46.0
88.0,8.7,5.1,17.0,15.0,15.0,47.0
95.0,10.0,5.7,18.0,13.0,14.0,46.0
97.0,9.2,7.6,17.0,11.0,14.0,44.0
83.0,8.7,7.9,17.0,10.0,8.0,41.0
75.0,8.54,5.7,13.0,11.0,7.0,25.0
82.0,7.7,8.8,15.0,9.0,10.0,30.0
87.0,8.83,6.9,17.0,8.0,12.0,33.0
86.0,0.0,9.6,17.0,8.0,7.0,27.0
77.0,6.71,6.9,18.0,4.0,4.0,18.0
100.0,10.0,5.7,20.0,13.0,10.0,50.0
80.0,8.44,8.8,17.0,8.0,8.0,18.0
81.0,9.18,7.8,16.0,10.0,10.0,20.0
91.0,8.52,6.9,17.0,12.0,8.0,31.0
81.0,8.62,6.8,16.0,13.0,11.0,24.0
87.0,9.45,5.8,16.0,9.0,7.0,36.0
72.0,7.33,6.7,13.0,7.0,4.0,16.0
80.0,7.87,5.1,16.0,11.0,10.0,33.0
92.0,9.16,7.5,17.0,12.0,13.0,48.0
86.0,0.0,9.5,16.0,5.0,4.0,18.0
92.0,7.62,9.0,20.0,10.0,12.0,30.0
85.0,8.13,5.1,14.0,10.0,9.0,40.0
88.0,8.99,9.4,16.0,4.0,5.0,18.0
84.0,8.44,7.3,19.0,9.0,10.0,28.0
